"zip","1br_rent","2br_rent","3br_rent","studio_rent","all_rent","1br_availability","2br_availability","3br_availability","studio_availability","population","population_density","median_household_income","mean_household_income","land_area","water_area","white","black","asian","hispanic","male_population","median_age"
"93635","","","","","","0","1","1","0","38776","144.8","48542","61533","259.19","8.53","59.4","3.6","3.1","64.1","50.1","30.2"
"94002","2175.0","2700.0","3950.0","2075.0","2485.0","39","33","17","17","25992","4582.5","102611","130855","5.66","0.01","67.5","1.6","19.9","11.7","48.8","40.9"
"94005","2000.0","2900.0","","1570.0","2400.0","3","6","1","3","4282","937.3","79171","113108","4.4","0.17","60.2","1.9","25.3","16.6","50.2","41.7"
"94010","2197.0","2937.0","4795.0","1850.0","2397.0","62","48","11","13","40737","3416.6","96786","175786","11.84","0.09","67.6","1","22.4","10.8","47.9","42.3"
"94014","1800.0","3125.0","2900.0","1650.0","2679.0","33","35","29","4","47014","7454.3","68495","84273","6.31","0","24.9","3.5","49","34.2","49.6","37.5"
"94015","1900.0","2745.0","3500.0","1725.0","2200.0","37","32","18","13","60927","10575.5","76954","91355","5.76","0","24","3.5","59","16.2","49.1","39.1"
"94019","2700.0","3425.0","3500.0","","3375.0","6","10","5","1","18424","346.6","96172","131635","52.6","0.56","76.8","0.8","3.9","29.7","49.3","42.3"
"94020","","","","","","1","0","0","0","1559","27.9","122024","142744","55.77","0.03","88.1","1.1","2.6","8.5","52.7","48.6"
"94021","","","","","","0","0","0","0","192","42.4","91458","83749","4.53","0","88","1","3.1","15.6","49","38"
"94022","3500.0","3700.0","5495.0","","3897.0","7","12","11","0","18500","1057.9","154243","234872","17.49","0","71","0.5","23.6","3.3","48.3","48.2"
"94024","1895.0","3100.0","5000.0","","3325.0","11","8","11","2","22385","3065.8","166742","228696","7.3","0","69.3","0.5","24.7","4","48.9","46.3"
"94025","2325.0","3280.0","4703.0","1850.0","2995.0","68","95","34","23","40526","3447.7","114149","171793","11.75","0","71","4.1","9.7","19","48.7","39"
"94027","2975.0","3000.0","","","2987.0","5","5","1","1","7089","1355.6","218214","391327","5.2","0.03","80.5","1.1","13.2","4","49","48.3"
"94028","","","","","3400.0","1","2","2","1","6534","425.8","162271","320475","15.24","0.11","89.4","0.4","5.9","4.7","49.5","50"
"94030","1937.0","3395.0","4295.0","","3395.0","12","36","14","1","21536","6337.4","86364","108474","3.39","0.01","47.3","0.8","42.7","11.9","47.4","44.8"
"94037","","","","","","1","1","0","0","2913","503.5","119537","128776","5.79","0","85.5","0.6","4.9","11.3","48.1","46"
"94038","","","3800.0","","3800.0","0","0","3","0","3040","1929","80469","111481","1.58","0","73.6","0.8","3.8","29.2","49.8","43.1"
"94040","2150.0","2795.0","4250.0","1775.0","2395.0","163","102","19","21","32996","8944.6","95072","123840","3.69","0","55.5","1.8","27.2","20.8","50.8","35.7"
"94041","2411.0","3100.0","4900.0","1587.0","3000.0","56","59","21","4","13292","8688.8","87231","122034","1.53","0","59.9","2.2","21.6","24.8","51.6","35.3"
"94043","2250.0","2995.0","4387.0","1825.0","2975.0","65","97","54","15","28358","2656.8","94038","118828","10.67","0","55.2","3.1","26","21","50.7","36.2"
"94044","2297.0","2665.0","3350.0","2618.0","2600.0","36","88","14","7","37296","2542.8","96014","113061","14.67","0","64.9","2.6","19.4","16.8","48.9","41.5"
"94060","","","","","","0","0","0","0","1554","21.2","101319","134588","72.95","0.34","63.4","1","0.9","51.6","54.3","38"
"94061","2170.0","2795.0","4172.0","1525.0","2350.0","51","43","12","8","36245","9385.7","75033","99343","3.86","0","65","2.2","6.4","38.7","48.9","37"
"94062","2100.0","3200.0","4275.0","1795.0","2335.0","43","11","18","7","25876","360.3","122260","192162","70.89","0.94","81.7","1.1","6.7","14.5","49.1","44.8"
"94063","3050.0","3772.0","4605.0","1700.0","3420.0","71","70","23","8","30949","3906.3","51690","70811","6.82","1.1","46","2.9","4.9","71","53.4","31"
"94065","2560.0","3450.0","","","3195.0","12","15","0","0","11359","3673.4","133981","155720","2.44","0.65","54","1.9","35.8","7.7","47.7","40.1"
"94066","2860.0","3195.0","3575.0","1575.0","2950.0","77","53","16","11","41130","6706","78521","94655","6.13","0","49.5","2.3","25.4","29.2","49.3","38.8"
"94070","1875.0","2600.0","3900.0","1737.0","1997.0","33","31","10","6","29166","4747.2","120579","155509","6.14","0","79.3","0.8","11.5","10","48.3","42.7"
"94074","","","","","","0","0","0","0","214","11.5","162950","116295","18.54","0.03","87.9","0.5","5.6","9.4","56.5","43"
"94080","1975.0","2700.0","3495.0","","2665.0","26","39","25","0","63975","6158.2","73927","90882","10.28","0.11","37.4","2.5","36.6","34","49.4","38.1"
"94085","2322.0","3045.0","3250.0","1795.0","2619.0","66","71","21","11","21247","6087.9","94870","102730","3.49","0","39.9","2","34.3","36.8","52.5","32.1"
"94086","2314.0","2716.0","3619.0","1860.0","2454.0","182","155","28","7","45697","10187.2","92931","111753","4.49","0","39.8","2.5","42","21.3","51.2","33.8"
"94087","2199.0","2764.0","4000.0","1802.0","2764.0","55","62","41","4","54293","8248","110348","135069","6.58","0","47.2","1.4","43.1","9","49.2","38.8"
"94089","2556.0","3404.0","3219.0","2625.0","2902.0","55","41","14","4","19245","3205","80625","96423","5.99","0.01","41.9","2.3","39.1","22.2","49.4","37.4"
"94102","3497.0","4687.0","6075.0","2195.0","3495.0","142","94","6","96","31176","46472.4","22252","48334","0.67","0","45.4","13.9","25.4","18.9","59.9","40.9"
"94103","3600.0","4500.0","5697.0","2576.0","3777.0","201","110","12","50","27170","20036.1","44145","73372","1.36","0","47.1","11","25.6","21.9","60.1","39.3"
"94104","","","","","","0","2","0","0","406","5232.1","26223","96572","0.08","0","34.5","3","55.7","7.6","53.7","47.6"
"94105","3950.0","6000.0","6300.0","3112.0","4307.0","112","87","7","22","5846","12966.2","142389","211655","0.37","0.08","56.7","2.2","34.9","5.9","56.2","35.5"
"94107","3595.0","4600.0","6190.0","2597.0","3895.0","183","135","23","34","26599","14131.4","117556","150750","1.79","0.09","59.2","6.7","24.2","10.4","53.9","36.2"
"94108","3395.0","4145.0","","2087.0","3050.0","65","22","2","38","13768","50982.6","33979","84788","0.27","0","35.3","1.9","57.8","5.9","48.3","43.8"
"94109","3195.0","4200.0","6095.0","1995.0","3400.0","281","187","35","165","55984","43000.4","58915","93415","1.19","0.11","59.5","4","27.3","10.9","50.9","37.6"
"94110","3165.0","4095.0","5000.0","2350.0","3700.0","104","110","49","38","69333","29756.1","79516","106657","2.33","0","58.5","3.7","12.8","38.4","52.5","36.2"
"94111","3751.0","5336.0","","3243.0","3845.0","17","14","1","10","3713","6940.8","93393","137929","0.34","0.19","57.6","2.2","36.4","5.2","53.3","51.4"
"94112","2222.0","3000.0","4250.0","1650.0","2775.0","40","61","29","15","79407","23605.5","72396","88251","3.36","0","26.4","4.2","49.6","29.2","49.6","39.8"
"94114","3295.0","4600.0","6500.0","2195.0","4000.0","121","102","44","19","31124","21836.9","115734","151865","1.43","0","79.5","1.9","10.3","9.4","59.1","40.4"
"94115","3345.0","4450.0","6350.0","2300.0","3800.0","103","119","36","40","33021","29595.7","73797","123781","1.12","0","60.8","12.5","19","7.9","47","36.9"
"94116","1787.0","2825.0","4247.0","1595.0","2595.0","26","50","14","5","43698","16659","82648","111568","2.59","0.04","38.1","1.2","54.9","6.1","48.5","43.3"
"94117","2900.0","4250.0","5400.0","2100.0","3690.0","90","100","43","27","39169","23202.4","91303","122381","1.69","0","73.7","6.2","11.1","10","50.8","33.8"
"94118","2800.0","3700.0","4995.0","2125.0","3500.0","65","103","37","20","38319","19435.1","81545","127332","1.95","0.02","55.9","1.7","35.2","6.4","47.2","38.6"
"94121","2400.0","3200.0","4000.0","1745.0","2750.0","69","67","19","14","41203","13268.2","72371","100179","3.08","0.02","45.8","1.7","45.7","6.1","48.1","42.4"
"94122","2400.0","3300.0","3900.0","2000.0","2995.0","82","77","38","19","56023","23699.3","77889","99387","2.36","0","43","1.5","49","6.1","48.5","39.1"
"94123","3200.0","4995.0","7250.0","2350.0","3600.0","113","93","23","39","23088","20863.4","107226","153773","1.02","0.09","84.3","0.8","10.5","5.4","46.1","35"
"94124","1925.0","2872.0","3350.0","","2990.0","4","22","9","1","33996","5656.5","46692","66734","4.93","1.08","12.1","33.7","30.7","25","48.8","34.6"
"94127","2325.0","3500.0","4800.0","","3700.0","12","7","19","1","19289","10872.7","128079","162704","1.77","0","60.4","3.4","28","8.9","50.2","45.6"
"94128","","","","","","0","0","0","0","69","19.6","NA","NA","3.52","0.01","56.5","8.7","7.3","30.4","72.5","46.5"
"94129","3362.0","5605.0","","","3751.0","9","7","0","0","3183","1377.8","121313","178646","2.3","0.01","80.1","2.2","7.9","7.8","52.3","30"
"94130","3690.0","","","","3690.0","5","0","0","0","2880","3196.2","36553","66509","0.9","0","35.1","25.1","18.2","23","54.2","26.2"
"94131","2895.0","3800.0","5550.0","2125.0","3695.0","49","50","37","10","26881","12806.1","94770","123938","2.08","0.02","67.3","4.6","18.5","12.6","52.3","42.3"
"94132","2580.0","3137.0","4170.0","1949.0","2850.0","42","30","26","5","28129","7788.4","67943","89203","3.11","0.5","39.6","8.6","40.7","11.6","46.2","32.9"
"94133","3000.0","4600.0","6550.0","2459.0","3575.0","74","73","13","16","26237","26110.9","46841","83652","0.76","0.25","41.4","2.2","51.8","5","49.2","43.9"
"94134","1425.0","2800.0","3500.0","1845.0","2700.0","11","27","17","4","40798","16755.9","59690","77257","2.4","0.04","16.2","9.6","56.4","21.4","48.9","39.5"
"94158","3635.0","4849.0","","3207.0","3818.0","62","42","0","9","4792","4075.2","64594","99614","0.66","0.52","47.6","3.7","40.5","7.3","54.7","33.1"
"94301","2825.0","3825.0","5650.0","2195.0","3500.0","46","52","20","16","16995","7161.3","135709","228159","2.37","0","75.9","2","16.2","5","49.7","43.2"
"94303","1894.0","2595.0","4725.0","1565.0","2440.0","52","16","40","16","45467","5230.1","76813","123603","7.96","0.73","39.8","10.9","15.4","41.8","49.8","32.4"
"94304","2875.0","4475.0","","2660.0","3765.0","5","9","0","3","3627","556.6","104531","154392","6.5","0.02","65.6","1.9","27.5","4.8","48.1","39.6"
"94305","","4000.0","","","3750.0","1","3","0","0","13862","2679.7","55543","119000","5.13","0.05","57.5","4.7","27.3","10.4","54.2","22.6"
"94306","2095.0","3400.0","4900.0","1945.0","2950.0","76","92","34","14","26469","6322.1","111432","151297","4.19","0","60.6","2.1","29.5","7.8","48.9","41.4"
"94401","2250.0","2950.0","4249.0","1775.0","2559.0","79","77","8","8","34429","8154.2","73023","92267","3.15","1.08","48","3.6","15.9","40.8","50.1","36.1"
"94402","2312.0","2898.0","5022.0","1980.0","2700.0","24","42","10","6","23981","4933.6","108701","151964","4.86","0","68.3","1.2","18.5","14.7","48.5","42.2"
"94403","2529.0","3317.0","3662.0","1943.0","3000.0","97","125","58","17","39642","6836.6","92123","116979","5.63","0.17","60.7","2","21.6","20.8","48.3","39.6"
"94404","2503.0","3071.0","4200.0","2019.0","2763.0","259","248","25","5","33749","6943","114451","134831","4.26","0.6","46.9","1.9","43.5","6.9","48.1","39.5"
"94501","1750.0","2150.0","2950.0","2067.0","2050.0","71","67","21","17","60212","5278.4","71096","90619","7.93","3.48","51.9","7.2","28.5","11.9","47.9","40"
"94502","2378.0","","","","2970.0","5","1","1","0","13600","3514","115428","139217","2.68","1.19","45.6","3","43.2","6.7","47.8","44.9"
"94503","1667.0","1619.0","1999.0","","1697.0","3","7","4","0","19681","1258.3","82205","97702","12.96","2.69","39.1","7.9","32.6","25.9","49","35.6"
"94505","","","2075.0","","1950.0","1","2","4","0","13403","620.9","107972","129267","16.27","5.32","81.5","4.1","3.9","15.7","50.3","39.6"
"94506","","2308.0","3650.0","","2315.0","1","14","9","0","22452","1194.3","164873","200408","18.79","0.01","71.9","1.6","20.9","6","48.5","43.4"
"94507","","","3750.0","","3350.0","1","1","6","0","14889","1172.5","149973","215229","12.7","0","87","0.5","8.1","5.8","49.6","47.9"
"94508","","","","975.0","932.0","1","0","0","3","3661","207.9","63393","81555","17.45","0.16","72.7","4.2","9.6","18.8","50.5","27.6"
"94509","1050.0","1295.0","1595.0","","1385.0","27","55","39","2","62439","3505.1","54441","66067","16.43","1.38","55.1","13.9","6.1","35.7","48.8","33.8"
"94510","1250.0","1650.0","2200.0","","1650.0","16","24","15","0","27088","865.1","88904","108949","27.95","3.36","72.5","5.6","11.1","12","48.1","42.9"
"94511","","","","","","0","1","0","1","2137","384.1","33771","57414","5.56","0","86.2","1.9","2.2","13.1","53.5","52.8"
"94512","","","","","","0","0","0","0","108","5.4","153359","136158","20.16","0.01","73.2","1.9","3.7","23.2","55.6","47"
"94513","1362.0","1595.0","1950.0","","1850.0","6","7","23","1","54605","703.6","88219","100523","75.66","1.95","68.4","6.3","7.6","27.2","48.7","35.9"
"94514","","","","","","0","0","2","0","1360","47.1","52031","62372","28.71","0.18","70.8","4.6","1.2","38.5","53.1","33"
"94515","1147.0","3400.0","2600.0","","2500.0","4","5","5","0","7050","66.6","56688","92299","105.65","0.18","76.6","0.5","1.3","41.1","50.4","43.4"
"94516","","","","","","0","0","0","0","211","241.3","98438","107126","0.87","0","89.1","1","5.7","1","55","43.6"
"94517","","","2600.0","","2600.0","0","1","3","1","12385","216.5","115570","135099","57.22","0","84.7","1.5","6.1","9.5","49.1","45.1"
"94518","1574.0","1886.0","2050.0","","1870.0","18","26","10","0","26778","4925.3","71663","88213","5.44","0","67.7","3.2","12","23","49.4","40.6"
"94519","","1572.0","2147.0","","2100.0","1","4","18","0","18453","4220.8","71262","86652","4.37","0","70.4","2.7","9.3","24.5","49.9","38.5"
"94520","1350.0","1605.0","2300.0","1045.0","1645.0","63","78","14","4","37208","3688","48116","59054","10.09","0","53.1","5.1","8.6","52.9","51.8","31.1"
"94521","1400.0","1700.0","2237.0","","1795.0","10","24","16","1","41249","3182.2","81140","98747","12.96","0","70.9","2.8","13.3","17.6","48","41.1"
"94523","1830.0","2278.0","2905.0","1555.0","2198.0","62","125","26","10","33569","4639.7","77117","100916","7.24","0","74.9","2.1","13.7","12.1","48.5","40.7"
"94525","","","2500.0","","1562.0","1","2","3","0","3127","1021.5","81304","94581","2.35","0.71","79.8","4.9","3.5","15.8","48.9","45.7"
"94526","","2265.0","3500.0","","2265.0","1","15","9","0","31102","2082.9","120571","157341","14.93","0","85.5","0.7","8.4","6.9","48.5","45.5"
"94528","","","","","","0","0","0","0","964","411.1","219688","543285","2.34","0","93.1","NA","3.8","3.3","49","50.7"
"94530","1703.0","2187.0","2850.0","1120.0","1900.0","14","22","8","5","23877","4944.9","78915","98556","4.83","0","53.4","7.8","27.2","11.2","48.1","43.6"
"94531","1771.0","1737.0","1850.0","","1795.0","18","14","18","0","40290","3677.7","90448","100379","10.96","0","39.6","22.3","17.2","25.4","48.5","33.7"
"94533","987.0","1392.0","1595.0","","1275.0","34","55","21","1","69277","3187.3","55561","67361","21.6","0.13","42","17.7","12.7","32.8","49","33.1"
"94534","1470.0","1754.0","2175.0","","1714.0","10","7","8","1","36416","456.6","95427","113566","79.16","0.6","55.2","11","19","16.8","49","39.3"
"94535","","","","","","0","0","0","0","3793","993.3","52047","62841","3.81","0.01","64.4","12.2","7.2","15.6","56.1","22.1"
"94536","2052.0","2500.0","2650.0","1495.0","2359.0","90","118","25","5","68790","4716","85196","101918","14.58","0","41.3","4","38.7","18.2","49.5","36.6"
"94538","2144.0","2570.0","2985.0","1612.0","2340.0","165","147","40","8","61148","3675.3","81509","94143","16.46","0.18","36.9","4.1","41","22.3","50.2","34.4"
"94539","2187.0","2750.0","3200.0","","2750.0","6","13","10","0","50031","1968.3","141319","158827","25.42","0","23.7","1.2","69.9","4.7","49.6","40.8"
"94541","1810.0","2135.0","2287.0","1757.0","1975.0","51","81","10","7","61635","8269.1","55193","69123","7.43","0.02","40.4","14.6","12.7","45","49.6","34"
"94542","1691.0","2450.0","","","1930.0","11","13","1","0","12717","2229.5","82658","106719","5.7","0","43.2","14.6","23.4","20.3","48.7","34.5"
"94544","1635.0","1965.0","2300.0","","1841.0","110","89","31","1","73026","6664.8","62176","73695","10.96","0","33.1","11.2","19.6","46.3","49.6","32.3"
"94545","1595.0","1909.0","2297.0","","1946.0","11","13","18","2","29707","1221","68965","86850","21.54","2.79","28.6","9.5","35.2","30.8","49.1","36.8"
"94546","1530.0","1910.0","2345.0","","1845.0","40","59","16","2","42209","4357.9","71986","93089","9.42","0.26","63.1","5.9","16.6","18.8","47.9","41.2"
"94547","","1625.0","2600.0","","1850.0","0","8","6","0","24092","3842.6","92320","107018","5.44","0.83","22.1","18.9","45.5","14.6","47.4","39"
"94548","","","","","","0","0","0","0","412","146.6","54375","72306","2.76","0.05","85.2","1.7","1.5","28.4","55.6","42.5"
"94549","1850.0","2380.0","3639.0","1300.0","2350.0","17","39","8","3","26864","1386.6","136868","177877","19.21","0.17","84.9","0.7","8.9","5.9","48.6","45.9"
"94550","1705.0","2250.0","2635.0","","2234.0","12","47","13","0","46896","200.1","101315","124615","232.73","1.66","79.5","1.9","7.4","16.7","49.2","40.7"
"94551","1471.0","1811.0","2885.0","","1953.0","10","22","18","2","36867","467","94353","108409","78.92","0.03","69.3","2.3","9.5","25.6","50.3","35.9"
"94552","","","3092.0","","2990.0","1","0","4","0","14454","321.8","136303","151055","44.9","0.02","50.2","4.1","37.1","9.5","48.6","43.3"
"94553","1581.0","1825.0","2600.0","1050.0","1669.0","37","43","4","5","47065","913.4","74708","90657","48.94","2.58","76.8","3.4","7.6","16.3","49.3","41.9"
"94555","1550.0","2385.0","2900.0","","2400.0","5","18","16","2","34143","2621.8","109316","121076","11.61","1.41","22.1","3.7","63.5","9.4","49.6","36.3"
"94556","1425.0","2200.0","2975.0","","2400.0","3","11","9","0","15229","1243.4","120051","162111","12.25","0","77","1.2","15.4","6","47.7","47"
"94558","1483.0","2200.0","2500.0","1125.0","2175.0","22","45","41","4","66830","173","71599","97011","355.76","30.45","77.3","1","2.4","32.4","50.1","41.1"
"94559","1212.0","1770.0","2697.0","","1995.0","22","33","32","0","27184","699.3","58692","77116","36.65","2.23","74.5","0.7","2.1","39.4","50.2","35.7"
"94560","2197.0","2525.0","2750.0","","2444.0","33","58","12","0","42573","3078.4","84922","93994","13.81","0.02","41.3","4.7","27.2","35.2","49.8","35.4"
"94561","","","1700.0","","1685.0","1","0","13","0","36515","2039.6","75605","88881","16.93","0.98","64.3","7.2","6.2","34.7","49.8","32.2"
"94563","1850.0","3000.0","3625.0","","2500.0","6","5","6","2","17672","1022.8","161567","211525","17.26","0.01","82.3","0.8","11.5","4.6","48.6","47.8"
"94564","1025.0","1500.0","2345.0","","1843.0","4","5","7","1","18287","3024","77476","92608","5.59","0.46","46.3","13.4","22.8","21.9","47.5","42.6"
"94565","1200.0","1450.0","1800.0","911.0","1527.0","17","30","39","4","84641","2497.5","55709","70202","30.2","3.69","37.8","16.1","14.2","45.6","49","31.8"
"94566","1838.0","2114.0","3100.0","","2084.0","108","100","27","2","40884","2068.8","119764","149611","19.61","0.15","71.9","1.4","18.5","10.7","48.7","42.2"
"94567","","","","","","0","0","1","0","623","4.7","57074","73053","131.41","2.42","83.3","0.2","1.4","25.2","48.5","39.8"
"94568","2154.0","2612.0","3106.0","1995.0","2397.0","98","110","57","3","46016","3009.7","112717","126606","15.29","0","51.4","9.5","26.8","14.5","52.1","35.3"
"94569","","","","","","0","0","0","1","198","83.7","92743","82591","2.37","0","89.4","1.5","3.5","5.1","49","53.3"
"94571","","","","","","0","2","0","0","7911","57.2","60556","71035","117.62","20.72","81.4","4.7","4.7","13.8","48.6","56.3"
"94572","","1450.0","","","1450.0","1","4","1","1","8684","1661.6","63803","74911","4.34","0.88","43.7","16.2","20.6","24.6","48.8","38.1"
"94573","","","","","","0","0","0","0","94","94.2","61012","66915","1","0","80.9","NA","NA","40.4","53.2","46"
"94574","1575.0","2049.0","","","1925.0","4","8","2","0","8742","67.3","83733","131313","127.8","2.09","79.4","0.5","1.8","29.5","47.9","45.3"
"94575","","","","","","0","0","0","0","974","5523.7","NA","NA","0.17","0.01","64.6","11.1","7.8","21.9","40.1","19.6"
"94576","","","","","","0","0","0","0","164","443.9","37614","68310","0.37","0","87.8","0.6","3.7","18.3","42.7","49.5"
"94577","1500.0","1772.0","2300.0","","1707.0","26","40","8","2","45560","4787.5","63878","77481","8.15","1.37","40.3","12.9","24.8","29.3","48","39.5"
"94578","1337.0","1812.0","2350.0","","1695.0","18","30","11","2","38558","8755.3","53465","63046","4.4","0","33.3","20.3","20.6","34","48.6","34"
"94579","1102.0","1895.0","2400.0","","1997.0","4","10","8","0","20571","6566.9","67299","79195","3.13","0","35.4","6.6","42.5","21.3","48.3","40.8"
"94580","1375.0","1700.0","2300.0","","1700.0","6","11","9","1","27152","7860.1","69031","77773","3.45","0.01","44.3","6.3","24.2","36","48.8","37.3"
"94582","1865.0","2357.0","3300.0","1592.0","2163.0","44","42","33","3","38537","2961.3","130752","156585","13","0.02","42","3.1","47.6","6.7","49.1","35.9"
"94583","1925.0","2295.0","3400.0","","2314.0","26","51","33","0","34859","2331.2","117384","135043","14.95","0","66.4","2.5","22.4","10.8","49.2","39"
"94585","1092.0","1390.0","1537.0","","1320.0","6","5","6","0","28263","241","72500","82006","112.41","4.87","38.8","20.2","18.9","24","49.4","33"
"94586","","","","","","0","1","0","1","925","15.6","95250","176784","58.65","0.77","85.1","0.1","5.5","9.5","50.4","49.2"
"94587","2010.0","2228.0","2760.0","1731.0","2175.0","44","78","14","11","69516","3525.1","83066","98012","19.72","0","23.9","6.3","50.9","22.9","49.4","36.2"
"94588","2032.0","2362.0","3355.0","","2299.0","46","51","25","0","30842","944.8","120008","141820","32.64","0","61.2","2","28.8","9.8","49.5","38.8"
"94589","985.0","1100.0","1762.0","","1147.0","4","14","10","0","29876","2577.5","58190","67439","11.46","0.13","25.5","24.5","26.8","28.1","48.7","36.9"
"94590","1000.0","1400.0","1500.0","775.0","1350.0","47","69","47","8","35420","5121.9","43754","58001","5.94","0.97","39.3","25","12.3","27.3","48.6","36.1"
"94591","1105.0","1537.0","1600.0","","1500.0","30","72","38","0","53042","2378.2","75321","89469","21.58","0.73","33.1","18.6","31.3","17.2","48.6","39.3"
"94592","","","","","","0","0","0","1","742","175.2","72031","123161","4.23","0.01","36.9","11.3","37.3","12","49.1","35.1"
"94595","1750.0","1895.0","3150.0","","1850.0","9","7","4","1","16425","3053.7","58477","89633","5.38","0","87.1","1.1","7.5","4.8","40.8","66.9"
"94596","1750.0","1995.0","2500.0","1625.0","1916.0","51","63","5","5","20037","3359.2","78402","107649","5.96","0","78.4","2.2","10.7","11.6","49.4","39.8"
"94597","1938.0","2250.0","3175.0","1810.0","2194.0","37","63","11","7","20277","5179.6","83093","102325","3.91","0","74.3","2.4","14.3","10.7","48.1","39.2"
"94598","1745.0","2247.0","3295.0","","2375.0","5","24","13","0","25818","1691.8","117500","146000","15.25","0.01","77.3","1.1","15.1","6.6","47.8","47.2"
"94599","","","","","","0","1","1","0","3021","1030.4","69290","113758","2.93","0","89.5","1.3","1.7","9.8","57.4","63.8"
"94601","1250.0","1750.0","2450.0","1015.0","1450.0","35","31","9","12","50294","14935.4","37609","50236","3.25","0.12","25.4","18.4","17.8","53.8","51.3","30.9"
"94602","1575.0","1887.0","3185.0","","1875.0","23","18","7","1","28329","8497.5","70105","94715","3.3","0.03","45.6","17.9","23.2","13.8","46.5","41.3"
"94603","1347.0","1500.0","1850.0","","1595.0","4","17","6","0","31403","9630.1","40062","51836","3.26","0","20.5","37.8","4.5","52.6","49.1","29.7"
"94605","1300.0","1800.0","2650.0","1450.0","1725.0","27","41","16","3","39016","4330.3","56434","73051","8.96","0.05","21.9","52.7","6.4","22.2","46.9","38.1"
"94606","1650.0","2200.0","1950.0","1200.0","1795.0","48","45","13","17","36672","14637","39230","50377","2.29","0.22","20.8","19.5","42.4","19.8","49.2","35.5"
"94607","2200.0","3048.0","2400.0","1600.0","2325.0","59","46","14","5","24978","3527.8","32716","53533","5.9","1.18","19.9","38.5","28.8","12.6","50.4","36"
"94608","2760.0","3177.0","3200.0","2088.0","2810.0","167","109","21","20","28019","8212.8","53936","71831","2.74","0.67","35.4","36.5","15.5","12.2","49.6","35.5"
"94609","1800.0","2500.0","3150.0","1572.0","2195.0","47","23","14","8","20596","12057","48658","66067","1.71","0","46.6","33.2","7.9","11.4","47.6","34.6"
"94610","1892.0","2595.0","3800.0","1550.0","1962.0","90","37","6","9","29287","12119.5","73127","110831","2.18","0.23","56.9","18.6","14.7","8.5","46.6","39.5"
"94611","1850.0","2400.0","3975.0","1495.0","2100.0","49","30","19","14","36565","3461.7","99475","150591","10.56","0","69.2","8.3","14.2","6.6","47.4","43.9"
"94612","2367.0","3831.0","3897.0","2149.0","2646.0","49","34","9","18","14389","16899.4","26314","47118","0.85","0","27.8","29.6","30.2","12.3","52","40.2"
"94613","","","","","","0","1","0","0","715","2820","NA","NA","0.25","0","56.8","10.2","12.3","23.1","10.4","20.6"
